Rk,Pos,Name,G,PA,AB,H,HR,RBI,SB,SO,BA,,,,,,,,,,,,
1,C,Sean Murphy,108,438,370,93,21,68,0,98,0.251,,,,,,,,,,,,
2,1B,Matt Olson*,162,720,608,172,54,139,1,167,0.283,,,,,,,,,,,,
3,2B,Ozzie Albies#,148,660,596,167,33,109,13,107,0.280,,,,,,,,,,,,
4,SS,Orlando Arcia,139,533,488,129,17,65,1,102,0.264,,,,,,,,,,,,
5,3B,Austin Riley,159,715,636,179,37,97,3,172,0.281,,,,,,,,,,,,
6,LF,Eddie Rosario*,142,516,478,122,21,74,3,122,0.255,,,,,,,,,,,,
7,CF,Michael Harris II*,138,539,505,148,18,57,20,101,0.293,,,,,,,,,,,,
8,RF,Ronald Acuna Jr.,159,735,643,217,41,106,73,84,0.337,,,,,,,,,,,,
9,DH,Marcell Ozuna,144,592,530,145,40,100,0,134,0.274,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,
